eligibility_rule_item_id,eligibility_rule_set_id,ordinal,scope_type,include_or_exclude,category_code,category_name_raw,major_code,major_name_raw,condition_raw
ELIGITEM-1451475d-68e6-5538-b75b-ab44c2e4e846,ELIGSET-002763f6-e1dc-531a-9325-09f6c0a7f694,1,major_category,include,,文化艺术大类,,,
ELIGITEM-e5fc5f60-d8a4-558f-9bae-fa3ea1aa9008,ELIGSET-002763f6-e1dc-531a-9325-09f6c0a7f694,2,major_category,include,,教育与体育大类,,,限于美术教育、艺术教育2个专业
ELIGITEM-0fdfa038-9d6b-5df5-ba9c-6e41048e9812,ELIGSET-002763f6-e1dc-531a-9325-09f6c0a7f694,3,major_category,include,,轻工纺织大类,,,限于纺织服装类所包含专业
ELIGITEM-22cacb4c-e191-546c-9309-8ec633d08e04,ELIGSET-025fefae-f6ac-5d53-9f9a-c94915b25e95,1,major_category,include,,教育与体育大类,,,
ELIGITEM-593a016e-f71b-5773-9eb4-2fb10de11e88,ELIGSET-0d1fc69e-7a13-5284-8523-4aa62c0b57a1,1,major_category,include,,财经商贸大类,,,
ELIGITEM-a8b85ec2-3b44-5543-be8a-8649bc8c9ed1,ELIGSET-0d1fc69e-7a13-5284-8523-4aa62c0b57a1,2,major_category,include,,旅游大类,,,
ELIGITEM-5f8db1e0-f27d-5438-9171-ca4a18d6e5a9,ELIGSET-0d1fc69e-7a13-5284-8523-4aa62c0b57a1,3,major_category,include,,公共管理与服务大类,,,
ELIGITEM-6a73cf73-8b7e-5de4-887b-41199c34b45c,ELIGSET-0d1fc69e-7a13-5284-8523-4aa62c0b57a1,4,major_category,include,,新闻传播大类,,,
ELIGITEM-3a90f852-131d-504c-9e23-ae7704c3039e,ELIGSET-165ed2f3-04a6-5989-ac18-3201595d97a4,1,major_category,include,,教育与体育大类,,,
ELIGITEM-803f5fe9-65f3-549a-a603-a26fde448572,ELIGSET-165ed2f3-04a6-5989-ac18-3201595d97a4,2,major_category,include,,旅游大类,,,
ELIGITEM-e1a1674c-4443-59b8-895e-5f6e2e6299e7,ELIGSET-165ed2f3-04a6-5989-ac18-3201595d97a4,3,major_category,include,,新闻传播大类,,,
ELIGITEM-70d06eef-9ead-5400-ac90-2ada22307cf2,ELIGSET-165ed2f3-04a6-5989-ac18-3201595d97a4,4,major_category,include,,公共管理与服务大类,,,
ELIGITEM-c344ae63-103e-5bdf-aea4-07d1981e60b0,ELIGSET-16d7991b-655d-5ba6-9d70-b90555d5d1e3,1,major_category,include,,财经商贸大类,,,
