offering_id,program_year_id,year,training_type,training_institution_id,training_institution_name,training_campus,training_campus_status,training_address,tuition_value,study_years,remarks_source_raw,training_type_is_derived,training_type_derivation_method,source_id,source_locator
OFF-3999de16-3537-573e-9704-e82f3cb0409f,PY-b8d32ee2-1f35-5e7c-9e2d-8f37ad59d33b,2024,main_school,HFNU,合肥师范学院,,not_published,,4600,2,,true,official_plan_row_without_joint_training_remark,SRC-HFNU-2024-ZC,"{""row_key"":""互联网金融"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
OFF-227f8508-ec1f-5fc5-b9b6-43ba177e5400,PY-d3e1e604-5dfe-5940-9aac-c7ed5481a96b,2024,main_school,HFNU,合肥师范学院,,not_published,,4600,2,,true,official_plan_row_without_joint_training_remark,SRC-HFNU-2024-ZC,"{""row_key"":""人力资源管理"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
OFF-8153285e-8b08-59c0-95da-4b14770854e4,PY-dd8c6616-cd6a-5b67-8db5-f4954648d30c,2024,joint_training,INST-ba913151-a036-5ef8-9abf-cf675a406053,合肥职业技术学院,,not_published,合肥市新站区岱河路2号(汇心湖校区);合肥市巢湖市凤凰山路(鼓山校区),4900,2,与合肥职业技术学院联合培养,false,,SRC-HFNU-2024-ZC,"{""row_key"":""制药工程"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
OFF-466442ff-30db-54dc-838c-f7fca01e0584,PY-9d21463d-ba3d-5383-9ec8-cb2b45d8c4fe,2024,main_school,HFNU,合肥师范学院,,not_published,,8000,2,,true,official_plan_row_without_joint_training_remark,SRC-HFNU-2024-ZC,"{""row_key"":""动画"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
OFF-19b89cef-9ee2-5b13-8029-ec7d83c2e38b,PY-185d8434-ad71-5d84-adff-537a7fe42fd8,2024,main_school,HFNU,合肥师范学院,,not_published,,4900,2,,true,official_plan_row_without_joint_training_remark,SRC-HFNU-2024-ZC,"{""row_key"":""化学工程与工艺"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
OFF-a7bf120a-dc4a-5ec9-aced-e4651a795afe,PY-2c4bd8ce-35e9-594f-a938-a656aa703f5a,2024,main_school,HFNU,合肥师范学院,,not_published,,4600,2,,true,official_plan_row_without_joint_training_remark,SRC-HFNU-2024-ZC,"{""row_key"":""商务英语"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
OFF-0cea55c4-0162-5c49-adf4-b170df56aca6,PY-020af4f4-756d-52f1-bedf-da1fb4f791e3,2024,main_school,HFNU,合肥师范学院,,not_published,,4600,2,,true,official_plan_row_without_joint_training_remark,SRC-HFNU-2024-ZC,"{""row_key"":""学前教育"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
OFF-9ede7d69-d5cc-5ccb-8967-b105266703a9,PY-6c06c71f-3a0c-540c-849d-0db19bc3a05c,2024,joint_training,INST-74f42226-13e9-5f75-8981-59ceb33b8573,淮北职业技术学院,,not_published,安徽省淮北市烈山区职教园区元培路1号,5060,2,与淮北职业技术学院联合培养,false,,SRC-HFNU-2024-ZC,"{""row_key"":""小学教育"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
OFF-bd3de362-2399-561b-a7c9-2e5227676c3a,PY-2ea256ce-e1f9-511b-b897-0b35b9549b96,2024,joint_training,INST-e2cfbe51-cbcd-5428-b931-f09be0315b25,安徽工业经济职业技术学院,,not_published,安徽省合肥市包河区祁门路66号,4600,2,与安徽工业经济职业技术学院联合培养,false,,SRC-HFNU-2024-ZC,"{""row_key"":""市场营销"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
OFF-f76c6c80-b9d0-5782-a18b-0ea301825262,PY-08a324b9-551b-5fed-b1f0-52e51932edf5,2024,main_school,HFNU,合肥师范学院,,not_published,,5390,2,,true,official_plan_row_without_joint_training_remark,SRC-HFNU-2024-ZC,"{""row_key"":""数据科学与大数据技术"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
OFF-69e46ff6-0cb7-5333-8024-1be76ba32d9e,PY-b5d0d88d-6d2b-5d5c-b8fa-740cd91b914f,2024,main_school,HFNU,合肥师范学院,,not_published,,4900,2,,true,official_plan_row_without_joint_training_remark,SRC-HFNU-2024-ZC,"{""row_key"":""新能源材料与器件"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
OFF-6ea19789-72a7-5a48-aeaa-57ccaa31b7c1,PY-a33a19d4-d78c-5342-be85-65c5a9660b96,2024,main_school,HFNU,合肥师范学院,,not_published,,8000,2,,true,official_plan_row_without_joint_training_remark,SRC-HFNU-2024-ZC,"{""row_key"":""服装与服饰设计"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
