record_id,year,school_id,major_name_raw,major_name_std,major_code,major_category,discipline,plan_total,training_location,campus,joint_training,joint_training_school,study_years,tuition_raw,tuition_value,remarks_raw,source_id,source_url,source_page
HFNU-2024-001,2024,HFNU,学前教育,学前教育,,文,,120,,锦绣校区,false,,2,4600,4600,校本部,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-002,2024,HFNU,商务英语,商务英语,,文,,120,,锦绣校区,false,,2,4600,4600,校本部,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-003,2024,HFNU,电子信息工程,电子信息工程,,理,,120,,锦绣校区,false,,2,5390,5390,校本部,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-004,2024,HFNU,药物制剂,药物制剂,,理,,140,,锦绣校区,false,,2,5200,5200,校本部,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-005,2024,HFNU,人力资源管理,人力资源管理,,文,,120,,锦绣校区,false,,2,4600,4600,校本部,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-006,2024,HFNU,网络与新媒体,网络与新媒体,,文,,120,,锦绣校区,false,,2,5060,5060,校本部,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-007,2024,HFNU,通信工程,通信工程,,理,,120,,锦绣校区,false,,2,4900,4900,校本部,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-008,2024,HFNU,化学工程与工艺,化学工程与工艺,,理,,120,,锦绣校区,false,,2,4900,4900,校本部,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-009,2024,HFNU,软件工程,软件工程,,理,,120,,锦绣校区,false,,2,5390,5390,校本部,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-010,2024,HFNU,数据科学与大数据技术,数据科学与大数据技术,,理,,120,,锦绣校区,false,,2,5390,5390,校本部,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-011,2024,HFNU,互联网金融,互联网金融,,文,,120,,锦绣校区,false,,2,4600,4600,校本部,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-012,2024,HFNU,生物制药,生物制药,,理,,120,,锦绣校区,false,,2,4900,4900,校本部,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
HFNU-2024-013,2024,HFNU,经济统计学,经济统计学,,理,,120,,锦绣校区,false,,2,4600,4600,校本部,SRC-2024-ZC,https://zsb.hfnu.edu.cn/info/1003/2715.htm,
