rule_id,year,school_id,rule_type,rule_scope,rule_raw_text,rule_structured_json,source_id,source_locator
RULE-17b438b6-dd7c-51b4-a873-506bdab39496,2024,HFNU,professional_course_requirement,all_applicable_candidates,专业课考试总分(专业课科目1+专业课科目2)不低于100分,"{""requirement"":""prof1+prof2>=100""}",SRC-HFNU-2024-ZC,"{""row_key"":""professional_course_requirement"",""section"":""录取规则"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
RULE-9df46dfb-c7b0-5c65-b9a1-391dc8d17d68,2024,HFNU,public_course_requirement,all_applicable_candidates,公共课须达到省考试院划定的公共课考试合格分数线,"{""requirement"":""pass_provincial_minimum""}",SRC-HFNU-2024-ZC,"{""row_key"":""public_course_requirement"",""section"":""录取规则"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
RULE-ab6bf782-7726-5f9b-af1d-ab498d2cf10e,2024,HFNU,ranking_rule,all_applicable_candidates,"按考试科目成绩总和从高分到低分排序,择优录取","{""method"":""total_score_descending""}",SRC-HFNU-2024-ZC,"{""row_key"":""ranking_rule"",""section"":""录取规则"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
RULE-d447bdf1-1363-5e29-a37d-f1b18f104781,2024,HFNU,score_formula,all_applicable_candidates,"总分=公共课1+公共课2+专业课1+专业课2,满分600分","{""formula"":""public1+public2+prof1+prof2"",""max_score"":600}",SRC-HFNU-2024-ZC,"{""row_key"":""score_formula"",""section"":""录取规则"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
RULE-36b2c1dd-8fa6-57ec-8e60-64227b56547f,2024,HFNU,tie_break_rule,all_applicable_candidates,同分排序:专业课科目1>专业课科目2>大学语文/高等数学>英语,"{""order"":[""prof1"",""prof2"",""public1"",""public2""]}",SRC-HFNU-2024-ZC,"{""row_key"":""tie_break_rule"",""section"":""录取规则"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
RULE-3d70218e-a401-5e66-b215-5e76c40cb42e,2025,HFNU,professional_course_requirement,all_applicable_candidates,专业课考试总分(专业课科目1+专业课科目2)不低于100分,"{""requirement"":""prof1+prof2>=100""}",SRC-HFNU-2025-ZC,"{""asset_id"":""ASSET-HFNU-2025-ZC-PDF"",""page"":""14-18"",""row_key"":""professional_course_requirement"",""section"":""录取规则""}"
RULE-17b1e575-8bba-580d-b6c3-68a6f727a23c,2025,HFNU,public_course_requirement,all_applicable_candidates,公共课须达到省考试院划定的公共课考试合格分数线,"{""requirement"":""pass_provincial_minimum""}",SRC-HFNU-2025-ZC,"{""asset_id"":""ASSET-HFNU-2025-ZC-PDF"",""page"":""14-18"",""row_key"":""public_course_requirement"",""section"":""录取规则""}"
RULE-2c772960-c18c-5c98-8c46-d9a093081092,2025,HFNU,ranking_rule,all_applicable_candidates,"按考试科目成绩总和从高分到低分排序,择优录取","{""method"":""total_score_descending""}",SRC-HFNU-2025-ZC,"{""asset_id"":""ASSET-HFNU-2025-ZC-PDF"",""page"":""14-18"",""row_key"":""ranking_rule"",""section"":""录取规则""}"
RULE-61b1f2e2-fc9a-5d1b-bbcf-3a90731b8147,2025,HFNU,score_formula,all_applicable_candidates,"总分=公共课1+公共课2+专业课1+专业课2,满分600分","{""formula"":""public1+public2+prof1+prof2"",""max_score"":600}",SRC-HFNU-2025-ZC,"{""asset_id"":""ASSET-HFNU-2025-ZC-PDF"",""page"":""14-18"",""row_key"":""score_formula"",""section"":""录取规则""}"
RULE-53196141-4fa5-558a-ab71-a5e1ca09a2aa,2025,HFNU,tie_break_rule,all_applicable_candidates,同分排序:专业课科目1>专业课科目2>大学语文/高等数学>英语,"{""order"":[""prof1"",""prof2"",""public1"",""public2""]}",SRC-HFNU-2025-ZC,"{""asset_id"":""ASSET-HFNU-2025-ZC-PDF"",""page"":""14-18"",""row_key"":""tie_break_rule"",""section"":""录取规则""}"
RULE-801469d1-e932-5563-8e7e-51bc880d2a79,2026,HFNU,professional_course_requirement,all_applicable_candidates,专业课考试总分(专业课科目1+专业课科目2)不低于100分,"{""requirement"":""prof1+prof2>=100""}",SRC-HFNU-2026-ZC,"{""asset_id"":""ASSET-HFNU-2026-ZC-PDF"",""page"":""14-19"",""row_key"":""professional_course_requirement"",""section"":""录取规则""}"
RULE-0b591616-6ead-5044-a3fa-9513e2a3b775,2026,HFNU,public_course_requirement,all_applicable_candidates,公共课须达到省考试院划定的公共课考试合格分数线,"{""requirement"":""pass_provincial_minimum""}",SRC-HFNU-2026-ZC,"{""asset_id"":""ASSET-HFNU-2026-ZC-PDF"",""page"":""14-19"",""row_key"":""public_course_requirement"",""section"":""录取规则""}"
RULE-730c5570-338d-5096-b6bf-f693041eedd5,2026,HFNU,ranking_rule,all_applicable_candidates,"按考试科目成绩总和从高分到低分排序,择优录取","{""method"":""total_score_descending""}",SRC-HFNU-2026-ZC,"{""asset_id"":""ASSET-HFNU-2026-ZC-PDF"",""page"":""14-19"",""row_key"":""ranking_rule"",""section"":""录取规则""}"
RULE-13d16a4f-bb83-5362-b7de-220e385443c9,2026,HFNU,score_formula,all_applicable_candidates,"总分=公共课1+公共课2+专业课1+专业课2,满分600分","{""formula"":""public1+public2+prof1+prof2"",""max_score"":600}",SRC-HFNU-2026-ZC,"{""asset_id"":""ASSET-HFNU-2026-ZC-PDF"",""page"":""14-19"",""row_key"":""score_formula"",""section"":""录取规则""}"
RULE-8ef419bb-27a7-5e19-8c18-9e8d76a9ce44,2026,HFNU,tie_break_rule,all_applicable_candidates,同分排序:专业课科目1>专业课科目2>大学语文/高等数学>英语,"{""order"":[""prof1"",""prof2"",""public1"",""public2""]}",SRC-HFNU-2026-ZC,"{""asset_id"":""ASSET-HFNU-2026-ZC-PDF"",""page"":""14-19"",""row_key"":""tie_break_rule"",""section"":""录取规则""}"
