admission_score_id,offering_id,year,candidate_category,admission_round,score_metric,score_basis,score_max,score_value_numeric,score_raw,value_status,threshold_detail_json,assessment_name,notes_source_raw,is_official_direct,is_derived,derivation_method,source_id,source_locator
SCORE-4172ddf3-8a35-593f-be51-7745587a8a56,OFF-3999de16-3537-573e-9704-e82f3cb0409f,2024,normal,first_choice,admission_min_score,four_subject_total,600,271,271,published_value,,,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""互联网金融|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-20bfb144-8858-5055-a1e0-da6ee03efff2,OFF-3999de16-3537-573e-9704-e82f3cb0409f,2024,retired_soldier_culture_exam_exempt,first_choice,admission_min_score,vocational_assessment,100,50,50(职测:9),published_value,"{""tie_break_label_raw"":""职测"",""tie_break_metric"":""vocational_assessment"",""tie_break_score"":""9""}",职业适应性或职业技能综合考查,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""互联网金融|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-0294d99d-204b-57c7-8dc6-5a75f7b0cec3,OFF-3999de16-3537-573e-9704-e82f3cb0409f,2024,retired_soldier_non_exempt,first_choice,admission_min_score,four_subject_total,600,,,blank_in_source,,,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""互联网金融|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-b7136671-dc3b-5a18-a89a-9b686b5636f8,OFF-3999de16-3537-573e-9704-e82f3cb0409f,2024,registered_poor_family,first_choice,admission_min_score,four_subject_total,600,349,349,published_value,,,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""互联网金融|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-ea94950c-2851-5d7d-822c-e56b89f34804,OFF-3999de16-3537-573e-9704-e82f3cb0409f,2024,skill_competition,first_choice,interview_score,interview,100,81,81,published_value,,技能大赛面试,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""互联网金融|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-d907033c-c281-5e10-97ae-01c61f47fdfe,OFF-227f8508-ec1f-5fc5-b9b6-43ba177e5400,2024,normal,first_choice,admission_min_score,four_subject_total,600,382,382,published_value,,,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""人力资源管理|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-39b43a5d-3390-54d9-a7ca-ed4e7b5e03c1,OFF-227f8508-ec1f-5fc5-b9b6-43ba177e5400,2024,retired_soldier_culture_exam_exempt,first_choice,admission_min_score,vocational_assessment,100,60,60,published_value,,职业适应性或职业技能综合考查,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""人力资源管理|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-012cbae9-ff76-5807-a027-ca2b1a3ba93b,OFF-227f8508-ec1f-5fc5-b9b6-43ba177e5400,2024,retired_soldier_non_exempt,first_choice,admission_min_score,four_subject_total,600,269,269,published_value,,,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""人力资源管理|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-43408c69-0476-5636-8d69-22d82f950932,OFF-227f8508-ec1f-5fc5-b9b6-43ba177e5400,2024,registered_poor_family,first_choice,admission_min_score,four_subject_total,600,348,348,published_value,,,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""人力资源管理|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-61cb7fa9-5d7a-535c-bf61-17ac92287223,OFF-227f8508-ec1f-5fc5-b9b6-43ba177e5400,2024,skill_competition,first_choice,interview_score,interview,100,81.33,81.33,published_value,,技能大赛面试,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""人力资源管理|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-5dd200db-1770-59f2-849a-899e57861307,OFF-8153285e-8b08-59c0-95da-4b14770854e4,2024,normal,first_choice,admission_min_score,four_subject_total,600,331,331(专业课1:97),published_value,"{""tie_break_label_raw"":""专业课1"",""tie_break_metric"":""professional_1"",""tie_break_score"":""97""}",,合肥职业技术学院,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""制药工程|合肥职业技术学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-523edcf5-7938-585b-afec-288e22af05b1,OFF-8153285e-8b08-59c0-95da-4b14770854e4,2024,retired_soldier_culture_exam_exempt,first_choice,admission_min_score,vocational_assessment,100,,,blank_in_source,,职业适应性或职业技能综合考查,合肥职业技术学院,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""制药工程|合肥职业技术学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-673d9251-9018-570d-aaa2-db1e76ef8023,OFF-8153285e-8b08-59c0-95da-4b14770854e4,2024,retired_soldier_non_exempt,first_choice,admission_min_score,four_subject_total,600,,,blank_in_source,,,合肥职业技术学院,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""制药工程|合肥职业技术学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-1932c12f-a4a7-5177-b4c2-5f23aba6229d,OFF-8153285e-8b08-59c0-95da-4b14770854e4,2024,registered_poor_family,first_choice,admission_min_score,four_subject_total,600,381,381,published_value,,,合肥职业技术学院,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""制药工程|合肥职业技术学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-a9ed6225-6e49-52e8-b044-e54111244a2e,OFF-8153285e-8b08-59c0-95da-4b14770854e4,2024,skill_competition,first_choice,interview_score,interview,100,,,blank_in_source,,技能大赛面试,合肥职业技术学院,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""制药工程|合肥职业技术学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-e1a072eb-0ca0-59fb-b6db-c320fe2ae27a,OFF-466442ff-30db-54dc-838c-f7fca01e0584,2024,normal,first_choice,admission_min_score,four_subject_total,600,404.5,404.5,published_value,,,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""动画|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-6a48981b-0101-51e0-9fba-97635803c3f2,OFF-466442ff-30db-54dc-838c-f7fca01e0584,2024,retired_soldier_culture_exam_exempt,first_choice,admission_min_score,vocational_assessment,100,61,61,published_value,,职业适应性或职业技能综合考查,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""动画|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-9a7738a7-6e0b-58ea-bedd-89c9f7616bae,OFF-466442ff-30db-54dc-838c-f7fca01e0584,2024,retired_soldier_non_exempt,first_choice,admission_min_score,four_subject_total,600,,,blank_in_source,,,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""动画|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-36ee1445-afe5-5ac6-b7b7-17040cc1f20a,OFF-466442ff-30db-54dc-838c-f7fca01e0584,2024,registered_poor_family,first_choice,admission_min_score,four_subject_total,600,405,405,published_value,,,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""动画|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-8f5bccea-e498-5741-ae99-09238d59d56b,OFF-466442ff-30db-54dc-838c-f7fca01e0584,2024,skill_competition,first_choice,interview_score,interview,100,76.67,76.67,published_value,,技能大赛面试,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""动画|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-e523c055-8fa4-514c-98eb-5446232ffd3d,OFF-19b89cef-9ee2-5b13-8029-ec7d83c2e38b,2024,normal,first_choice,admission_min_score,four_subject_total,600,210,210,published_value,,,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""化学工程与工艺|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-a4537c1f-2bcf-5c75-b38e-b60a57b3e167,OFF-19b89cef-9ee2-5b13-8029-ec7d83c2e38b,2024,retired_soldier_culture_exam_exempt,first_choice,admission_min_score,vocational_assessment,100,46,46,published_value,,职业适应性或职业技能综合考查,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""化学工程与工艺|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-a5c3a0e3-c9a9-5d77-95cf-3f9c55f3d425,OFF-19b89cef-9ee2-5b13-8029-ec7d83c2e38b,2024,retired_soldier_non_exempt,first_choice,admission_min_score,four_subject_total,600,,,blank_in_source,,,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""化学工程与工艺|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
SCORE-bf02166a-d894-585b-9bf4-89bf453818e7,OFF-19b89cef-9ee2-5b13-8029-ec7d83c2e38b,2024,registered_poor_family,first_choice,admission_min_score,four_subject_total,600,211,211,published_value,,,,true,false,,SRC-HFNU-2024-LQ,"{""row_key"":""化学工程与工艺|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
