application_statistic_id,offering_id,applicant_count,qualified_count,admitted_count,source_id,source_locator
APPSTAT-defdac2a-f80f-5763-a478-f34591f2359b,OFF-3999de16-3537-573e-9704-e82f3cb0409f,123,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":11,""row_key"":""互联网金融|合肥师范学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-03e7870f-cce7-59fc-8dec-eb14534e86cd,OFF-227f8508-ec1f-5fc5-b9b6-43ba177e5400,369,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":5,""row_key"":""人力资源管理|合肥师范学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-5d359603-4887-5185-99a7-79e2a2fe0002,OFF-8153285e-8b08-59c0-95da-4b14770854e4,181,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":24,""row_key"":""制药工程|合肥职业技术学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-c7893e9c-5208-5b8c-bef6-3fb8419562cb,OFF-466442ff-30db-54dc-838c-f7fca01e0584,96,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":18,""row_key"":""动画|合肥师范学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-eea0a89c-9f26-5645-8c23-2a521a183342,OFF-19b89cef-9ee2-5b13-8029-ec7d83c2e38b,94,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":8,""row_key"":""化学工程与工艺|合肥师范学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-e0626b28-bfc7-5304-afb7-7d27ba79962e,OFF-a7bf120a-dc4a-5ec9-aced-e4651a795afe,143,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":2,""row_key"":""商务英语|合肥师范学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-7b04131c-c6a8-5a61-bec1-10565b266d44,OFF-0cea55c4-0162-5c49-adf4-b170df56aca6,913,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":1,""row_key"":""学前教育|合肥师范学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-783f983e-81ff-55c4-8ccc-39ce8aed0212,OFF-9ede7d69-d5cc-5ccb-8967-b105266703a9,179,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":26,""row_key"":""小学教育|淮北职业技术学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-df3aa6fc-9c97-5abf-979a-5993fe7a7766,OFF-bd3de362-2399-561b-a7c9-2e5227676c3a,78,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":20,""row_key"":""市场营销|安徽工业经济职业技术学院"",""section"":""分专业报考人数"",""table"":1}"
APPSTAT-6598a503-0b30-5f6e-8e1a-1f7cbfe1580c,OFF-f76c6c80-b9d0-5782-a18b-0ea301825262,291,,,SRC-HFNU-2024-BMRS,"{""asset_id"":""ASSET-HFNU-2024-BMRS-HTML"",""row"":10,""row_key"":""数据科学与大数据技术|合肥师范学院"",""section"":""分专业报考人数"",""table"":1}"
