subject_name_std,alias_raw,alias_type,notes
C语言程序设计,C语言程序设计,official,
C语言程序设计,C语言,short_alias,
中国音乐史,中国音乐史,official,
人物速写,人物速写,official,
会计学原理,会计学原理,official,
会计学原理,会计学,short_alias,
传播学概论,传播学概论,official,
和声,和声,official,
基础分析化学,基础分析化学,official,
基础无机化学,基础无机化学,official,
大学物理,大学物理,official,
大学语文,大学语文,official,
大学语文,语文,short_alias,
室内设计表现,室内设计表现,official,
康复功能评定学,康复功能评定学,official,
建筑速写,建筑速写,official,
微生物学,微生物学,official,
微观经济学,微观经济学,official,
心理学,心理学,official,
插画设计,插画设计,official,
教育学,教育学,official,
数字电子技术基础,数字电子技术基础,official,
数据结构,数据结构,official,
新闻学概论,新闻学概论,official,
旅游与酒店管理,旅游与酒店管理,official,
无机化学,无机化学,official,
生物化学,生物化学,official,
电路分析基础,电路分析基础,official,
管理学原理,管理学原理,official,
管理学原理,管理学,short_alias,
统计学,统计学,official,
综合商务英语,综合商务英语,official,
自动控制原理,自动控制原理,official,
英语,英语,official,
英语,大学英语,short_alias,
运动解剖生理学,运动解剖生理学,official,
高等数学,高等数学,official,
高等数学,高数,short_alias,
