document_id,source_id,year,school_id,document_type,title,publish_date,url,file_name,local_path,file_type,content_hash,source_level,retrieved_at,status
DOC-HFNU-2024-ZC,SRC-HFNU-2024-ZC,2024,HFNU,admission_policy,合肥师范学院2024年普通高校专升本招生章程,2024-03-21,https://zsb.hfnu.edu.cn/info/1003/2715.htm,DOC-HFNU-2024-ZC.html,raw/2024/HFNU/DOC-HFNU-2024-ZC.html,html,287a0ad40dd786ed6ba0f85f735677232b1e636e90a1b0ab15a3949e348176a5,S,2026-08-14T14:18:01.003588+00:00,verified
DOC-HFNU-2025-ZC,SRC-HFNU-2025-ZC,2025,HFNU,admission_policy,合肥师范学院2025年普通高校专升本招生章程,2025-03-18,https://zsb.hfnu.edu.cn/__local/C/06/BF/6566D5FB847FE419FF2AF089452_4BA9E5C4_62ECA.pdf,DOC-HFNU-2025-ZC.pdf,raw/2025/HFNU/DOC-HFNU-2025-ZC.pdf,pdf,52259c218fdb48295fb782c99244dbeb4af8efe237d8ddb63bf27f46af59168e,S,2026-08-14,verified
DOC-HFNU-2026-ZC,SRC-HFNU-2026-ZC,2026,HFNU,admission_policy,合肥师范学院2026年普通高校专升本招生章程,2026-03-18,https://zsb.hfnu.edu.cn/__local/D/FA/83/9951276A93A385951864563370B_6C3346BD_70835.pdf,DOC-HFNU-2026-ZC.pdf,raw/2026/HFNU/DOC-HFNU-2026-ZC.pdf,pdf,dc078db203863ceaf67cab0ccd3ad89b88305753c3604709dd17f2b0c80d7a0d,S,2026-08-14,verified
DOC-HFNU-2024-LQ,SRC-HFNU-2024-LQ,2024,HFNU,admission_scores,合肥师范学院2024年专升本录取分数线,2024-05-24,https://zsb.hfnu.edu.cn/info/1002/3065.htm,DOC-HFNU-2024-LQ.html,raw/2024/HFNU/DOC-HFNU-2024-LQ.html,html,5d7c3b001fdd413ef78c2627b655f66e4c807630ef5fef9a7931d7c8c56f41e8,S,2026-08-14T14:18:01.003588+00:00,verified
DOC-HFNU-2025-LQ,SRC-HFNU-2025-LQ,2025,HFNU,admission_scores,合肥师范学院2025年专升本录取分数线,2025-05-26,https://zsb.hfnu.edu.cn/info/1002/3475.htm,DOC-HFNU-2025-LQ.html,raw/2025/HFNU/DOC-HFNU-2025-LQ.html,html,af0d182d21e6daccf20fb8c9e6bbc2d261d858978bb665977299095974ad9bb7,S,2026-08-14T14:18:01.003588+00:00,verified
DOC-HFNU-2026-LQ,SRC-HFNU-2026-LQ,2026,HFNU,admission_scores,合肥师范学院2026年专升本录取分数线,2026-05-21,https://zsb.hfnu.edu.cn/info/1002/3885.htm,DOC-HFNU-2026-LQ.pdf,raw/2026/HFNU/DOC-HFNU-2026-LQ.pdf,pdf,8cad381fc97ae7da6c6c77fdb014158333d04a4f32f027f5ba8d0991e7ff0cc5,S,2026-08-14T14:18:01.003588+00:00,verified
DOC-AHNU-2024-ZC,SRC-AHNU-2024-ZC,2024,AHNU,admission_policy,安徽师范大学2024年普通高校专升本招生章程,2024-03-22,https://zsxx.ahnu.edu.cn/info/1042/2893.htm,DOC-AHNU-2024-ZC.pdf,raw/2024/AHNU/DOC-AHNU-2024-ZC.pdf,pdf,5a7be6f27857c803a34f22aad3fb4abd5a8c21699dd7eda15f06e611d8128159,S,2026-08-14T16:19:06.881505+00:00,verified
DOC-AHNU-2025-ZC,SRC-AHNU-2025-ZC,2025,AHNU,admission_policy,安徽师范大学2025年普通高校专升本招生章程,2025-03-18,https://zsxx.ahnu.edu.cn/info/1042/3583.htm,DOC-AHNU-2025-ZC.pdf,raw/2025/AHNU/DOC-AHNU-2025-ZC.pdf,pdf,e81f38a851a2cffe38342010db73827a819fae97e2d2fc7bac3243e8ab96c075,S,2026-08-14T16:19:06.881505+00:00,verified
DOC-AHNU-2026-ZC,SRC-AHNU-2026-ZC,2026,AHNU,admission_policy,安徽师范大学2026年普通高校专升本招生章程,2026-03-18,https://zsxx.ahnu.edu.cn/info/1042/4095.htm,DOC-AHNU-2026-ZC.pdf,raw/2026/AHNU/DOC-AHNU-2026-ZC.pdf,pdf,57a3cb813929396258edbd82b593b0d8ec9bdc7124321707dfea8c523eb02d0d,S,2026-08-14T16:19:06.881505+00:00,verified
DOC-AHNU-2025-LQ,SRC-AHNU-2025-LQ,2025,AHNU,admission_scores,安徽师范大学2025年普通专升本招生拟录取结果查询,2025-05-26,https://zsxx.ahnu.edu.cn/info/1009/3753.htm,DOC-AHNU-2025-LQ.html,raw/2025/AHNU/DOC-AHNU-2025-LQ.html,html,2db86c4b881573d9362ddf968514f9a6733b4d761a540e2f051dbfcfa3ba2e11,S,2026-08-14T16:19:06.881505+00:00,verified
DOC-AHNU-2026-LQ,SRC-AHNU-2026-LQ,2026,AHNU,admission_scores,安徽师范大学2026年普通专升本招生拟录取结果查询,2026-05-20,https://zsxx.ahnu.edu.cn/info/1009/4213.htm,DOC-AHNU-2026-LQ.html,raw/2026/AHNU/DOC-AHNU-2026-LQ.html,html,ed4086cfb8dcce76ab39043f9210ffeec56d95d857980cb3c7cfb6b3be1d3cd1,S,2026-08-14T16:19:06.881505+00:00,verified
DOC-AHNU-2024-LQ,SRC-AHNU-2024-LQ,2024,AHNU,admission_scores,2024年普通专升本招生拟录取结果查询,2024-05-24,https://zsxx.ahnu.edu.cn/info/1042/3098.htm,DOC-AHNU-2024-LQ.html,raw/2024/AHNU/DOC-AHNU-2024-LQ.html,html,a73ba1616e391653faa2cca7526e528916332ce8f6690f3346b53021cd24b3b5,S,2026-08-14T16:19:06.881505+00:00,verified
