enrollment_plan_id,offering_id,plan_type,plan_value,value_status,plan_version,announcement_date,is_derived,derivation_method,raw_value,source_id,source_locator
PLAN-191e1dc9-2c9f-53f1-a40b-8e95b56546b0,OFF-3999de16-3537-573e-9704-e82f3cb0409f,total,120,explicit_value,original,2024-03-21,false,,120,SRC-HFNU-2024-ZC,"{""row_key"":""互联网金融"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-312cf52c-6e49-5c0a-ab2c-492aec0f6d0a,OFF-3999de16-3537-573e-9704-e82f3cb0409f,retired_soldier_culture_exam_exempt,10,explicit_value,original,2024-03-21,false,,10,SRC-HFNU-2024-ZC,"{""row_key"":""互联网金融"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-c396f8c7-a70d-598e-b56d-5270771e2605,OFF-3999de16-3537-573e-9704-e82f3cb0409f,retired_soldier_non_exempt,2,explicit_value,original,2024-03-21,false,,2,SRC-HFNU-2024-ZC,"{""row_key"":""互联网金融"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-5b208390-5799-5b8d-b2c9-f39b5e604a68,OFF-3999de16-3537-573e-9704-e82f3cb0409f,registered_poor_family,10,explicit_value,original,2024-03-21,false,,10,SRC-HFNU-2024-ZC,"{""row_key"":""互联网金融"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-582fcacc-15c1-5196-8c1f-228daea36e5d,OFF-227f8508-ec1f-5fc5-b9b6-43ba177e5400,total,120,explicit_value,original,2024-03-21,false,,120,SRC-HFNU-2024-ZC,"{""row_key"":""人力资源管理"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-ed9900b9-7fd8-52f2-8019-35923add0ea8,OFF-227f8508-ec1f-5fc5-b9b6-43ba177e5400,retired_soldier_culture_exam_exempt,10,explicit_value,original,2024-03-21,false,,10,SRC-HFNU-2024-ZC,"{""row_key"":""人力资源管理"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-d216ac9d-072f-5947-b735-c9e820e8c7ca,OFF-227f8508-ec1f-5fc5-b9b6-43ba177e5400,retired_soldier_non_exempt,2,explicit_value,original,2024-03-21,false,,2,SRC-HFNU-2024-ZC,"{""row_key"":""人力资源管理"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-a374a84d-8668-584f-b07d-292246433b90,OFF-227f8508-ec1f-5fc5-b9b6-43ba177e5400,registered_poor_family,10,explicit_value,original,2024-03-21,false,,10,SRC-HFNU-2024-ZC,"{""row_key"":""人力资源管理"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-457662a1-065d-5ebd-8031-dcb10ff01d11,OFF-1fd8e736-4502-5d6b-a9d9-5e1d71402740,total,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""会计学"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-8ec103b7-224d-5e85-ae51-a1226c95415e,OFF-1fd8e736-4502-5d6b-a9d9-5e1d71402740,retired_soldier_culture_exam_exempt,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""会计学"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-00325c8d-e321-5935-bedd-098006a832e4,OFF-1fd8e736-4502-5d6b-a9d9-5e1d71402740,retired_soldier_non_exempt,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""会计学"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-460b4070-bd3c-5727-820a-d006f5610752,OFF-1fd8e736-4502-5d6b-a9d9-5e1d71402740,registered_poor_family,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""会计学"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
