exam_session_id,program_year_id,year,session_type,subject_slots_json,duration_minutes,exam_date,start_time,end_time,exam_site_raw,exam_site_status,source_id,source_locator
SESSION-9274bc32-4bc1-50bd-a679-bf2f97a7594d,PY-b8d32ee2-1f35-5e7c-9e2d-8f37ad59d33b,2024,professional_combined,"[""professional_1"",""professional_2""]",180,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""互联网金融"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-8f4c13fd-6c4d-5423-a6b2-c1d1b70528b9,PY-b8d32ee2-1f35-5e7c-9e2d-8f37ad59d33b,2024,public_1,"[""public_1""]",120,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""互联网金融"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-1b8535ba-c80e-5f5a-b03c-33deee67e6df,PY-b8d32ee2-1f35-5e7c-9e2d-8f37ad59d33b,2024,public_2,"[""public_2""]",90,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""互联网金融"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-c8b67e3e-aff9-5c68-b531-8a7b93951545,PY-d3e1e604-5dfe-5940-9aac-c7ed5481a96b,2024,professional_combined,"[""professional_1"",""professional_2""]",180,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""人力资源管理"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-9e21382d-24f0-513c-9ce9-dc285c929c61,PY-d3e1e604-5dfe-5940-9aac-c7ed5481a96b,2024,public_1,"[""public_1""]",120,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""人力资源管理"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-ec8914d7-af64-5678-9021-0ec37eade30a,PY-d3e1e604-5dfe-5940-9aac-c7ed5481a96b,2024,public_2,"[""public_2""]",90,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""人力资源管理"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-92d0f39f-da0f-5887-a939-d705a0479b9c,PY-dd8c6616-cd6a-5b67-8db5-f4954648d30c,2024,professional_combined,"[""professional_1"",""professional_2""]",180,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""制药工程"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-feacc1c1-eb0e-5815-8b1c-341abba84b5b,PY-dd8c6616-cd6a-5b67-8db5-f4954648d30c,2024,public_1,"[""public_1""]",120,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""制药工程"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-bd0c9b15-3090-51be-921d-a63c074f0516,PY-dd8c6616-cd6a-5b67-8db5-f4954648d30c,2024,public_2,"[""public_2""]",90,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""制药工程"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-21a0b7ab-86bb-5ca5-aa86-199576a1e0bb,PY-9d21463d-ba3d-5383-9ec8-cb2b45d8c4fe,2024,professional_combined,"[""professional_1"",""professional_2""]",180,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""动画"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-39b38342-cac0-599a-9c39-c1bdec73d4df,PY-9d21463d-ba3d-5383-9ec8-cb2b45d8c4fe,2024,public_1,"[""public_1""]",120,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""动画"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-901e0513-cd99-5c5c-b2d5-694660108040,PY-9d21463d-ba3d-5383-9ec8-cb2b45d8c4fe,2024,public_2,"[""public_2""]",90,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""动画"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-59dd4192-a45d-5466-8a05-64f761b6ee33,PY-185d8434-ad71-5d84-adff-537a7fe42fd8,2024,professional_combined,"[""professional_1"",""professional_2""]",180,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""化学工程与工艺"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-604bcf8e-0854-53e6-990b-20336fec227d,PY-185d8434-ad71-5d84-adff-537a7fe42fd8,2024,public_1,"[""public_1""]",120,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""化学工程与工艺"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-57252de8-fc9b-5c29-8c10-43410ce9100e,PY-185d8434-ad71-5d84-adff-537a7fe42fd8,2024,public_2,"[""public_2""]",90,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""化学工程与工艺"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-490817c1-1ab4-54fc-b6bb-82665f1c819e,PY-2c4bd8ce-35e9-594f-a938-a656aa703f5a,2024,professional_combined,"[""professional_1"",""professional_2""]",180,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""商务英语"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
SESSION-43b3fb47-5526-59aa-b42c-56abf13e830e,PY-2c4bd8ce-35e9-594f-a938-a656aa703f5a,2024,public_1,"[""public_1""]",120,,,,,not_published,SRC-HFNU-2024-ZC,"{""row_key"":""商务英语"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
