exam_subject_id,program_year_id,year,subject_slot,subject_id,subject_name_raw,subject_name_std,score_max,exam_duration_minutes,exam_method,source_id,source_locator
EXAM-79954894-8df8-5d19-8b15-0504422f52e6,PY-b8d32ee2-1f35-5e7c-9e2d-8f37ad59d33b,2024,professional_1,SUBJ-7c29394f-52b0-5931-b0b3-625d7861212e,微观经济学,微观经济学,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""互联网金融"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-9b34bf45-0ada-5ead-805f-be2acb68bd2e,PY-b8d32ee2-1f35-5e7c-9e2d-8f37ad59d33b,2024,professional_2,SUBJ-be5405f8-d905-514f-8b29-cc10f36c78ef,会计学原理,会计学原理,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""互联网金融"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-8f4c13fd-6c4d-5423-a6b2-c1d1b70528b9,PY-b8d32ee2-1f35-5e7c-9e2d-8f37ad59d33b,2024,public_1,SUBJ-d88b6f0d-ab2d-511e-bbc2-2ff6a8d9b607,大学语文,大学语文,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""互联网金融"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-1b8535ba-c80e-5f5a-b03c-33deee67e6df,PY-b8d32ee2-1f35-5e7c-9e2d-8f37ad59d33b,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""互联网金融"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-0dfcae3e-1b0d-5757-a1b1-47c9521bd19c,PY-d3e1e604-5dfe-5940-9aac-c7ed5481a96b,2024,professional_1,SUBJ-225d4839-edc0-58f4-a894-f24182a6ca56,管理学原理,管理学原理,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""人力资源管理"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-bfd72507-4576-5765-99f7-57300d90e385,PY-d3e1e604-5dfe-5940-9aac-c7ed5481a96b,2024,professional_2,SUBJ-be5405f8-d905-514f-8b29-cc10f36c78ef,会计学原理,会计学原理,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""人力资源管理"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-9e21382d-24f0-513c-9ce9-dc285c929c61,PY-d3e1e604-5dfe-5940-9aac-c7ed5481a96b,2024,public_1,SUBJ-d88b6f0d-ab2d-511e-bbc2-2ff6a8d9b607,大学语文,大学语文,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""人力资源管理"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-ec8914d7-af64-5678-9021-0ec37eade30a,PY-d3e1e604-5dfe-5940-9aac-c7ed5481a96b,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""人力资源管理"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-340c5486-9d69-59f3-8dbb-f81e58d0a2a9,PY-dd8c6616-cd6a-5b67-8db5-f4954648d30c,2024,professional_1,SUBJ-af265a9a-3576-5139-8e32-0df76de6f524,基础无机化学,基础无机化学,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""制药工程"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-debea3eb-8a56-58b5-9c9b-e7b794231606,PY-dd8c6616-cd6a-5b67-8db5-f4954648d30c,2024,professional_2,SUBJ-f064f3e9-8008-5e68-86f5-1e55c4ebf102,基础分析化学,基础分析化学,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""制药工程"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
