fact_source_id,table_name,record_id,source_id,relation_type,source_locator
FACTSRC-9745b0dc-12aa-5513-b7aa-4edfaa96113a,admission_rules,RULE-0b591616-6ead-5044-a3fa-9513e2a3b775,SRC-HFNU-2026-ZC,primary_evidence,"{""asset_id"":""ASSET-HFNU-2026-ZC-PDF"",""page"":""14-19"",""row_key"":""public_course_requirement"",""section"":""录取规则""}"
FACTSRC-b5f78d67-e04d-50d1-96d4-6b94e92197d5,admission_rules,RULE-13d16a4f-bb83-5362-b7de-220e385443c9,SRC-HFNU-2026-ZC,primary_evidence,"{""asset_id"":""ASSET-HFNU-2026-ZC-PDF"",""page"":""14-19"",""row_key"":""score_formula"",""section"":""录取规则""}"
FACTSRC-e469852f-64f5-5df1-8e61-04aff4c57fb6,admission_rules,RULE-17b1e575-8bba-580d-b6c3-68a6f727a23c,SRC-HFNU-2025-ZC,primary_evidence,"{""asset_id"":""ASSET-HFNU-2025-ZC-PDF"",""page"":""14-18"",""row_key"":""public_course_requirement"",""section"":""录取规则""}"
FACTSRC-eb454654-dfeb-5d35-bc00-25a66f29f9d2,admission_rules,RULE-17b438b6-dd7c-51b4-a873-506bdab39496,SRC-HFNU-2024-ZC,primary_evidence,"{""row_key"":""professional_course_requirement"",""section"":""录取规则"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
FACTSRC-26470974-af9b-59c1-8ac3-f8b04cfa4d80,admission_rules,RULE-2c772960-c18c-5c98-8c46-d9a093081092,SRC-HFNU-2025-ZC,primary_evidence,"{""asset_id"":""ASSET-HFNU-2025-ZC-PDF"",""page"":""14-18"",""row_key"":""ranking_rule"",""section"":""录取规则""}"
FACTSRC-53ea3de6-1ee8-50a5-8877-7993fe6015d2,admission_rules,RULE-36b2c1dd-8fa6-57ec-8e60-64227b56547f,SRC-HFNU-2024-ZC,primary_evidence,"{""row_key"":""tie_break_rule"",""section"":""录取规则"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
FACTSRC-a677a490-9172-5df1-890c-90909c486dae,admission_rules,RULE-3d70218e-a401-5e66-b215-5e76c40cb42e,SRC-HFNU-2025-ZC,primary_evidence,"{""asset_id"":""ASSET-HFNU-2025-ZC-PDF"",""page"":""14-18"",""row_key"":""professional_course_requirement"",""section"":""录取规则""}"
FACTSRC-e4290810-6143-5f23-a55c-1bfd521fad5c,admission_rules,RULE-53196141-4fa5-558a-ab71-a5e1ca09a2aa,SRC-HFNU-2025-ZC,primary_evidence,"{""asset_id"":""ASSET-HFNU-2025-ZC-PDF"",""page"":""14-18"",""row_key"":""tie_break_rule"",""section"":""录取规则""}"
FACTSRC-a590c6a5-8967-54a6-bee0-cb069a0dfa75,admission_rules,RULE-61b1f2e2-fc9a-5d1b-bbcf-3a90731b8147,SRC-HFNU-2025-ZC,primary_evidence,"{""asset_id"":""ASSET-HFNU-2025-ZC-PDF"",""page"":""14-18"",""row_key"":""score_formula"",""section"":""录取规则""}"
FACTSRC-1cab2e4f-5cd5-5fd1-a01f-6ec7c2148a98,admission_rules,RULE-730c5570-338d-5096-b6bf-f693041eedd5,SRC-HFNU-2026-ZC,primary_evidence,"{""asset_id"":""ASSET-HFNU-2026-ZC-PDF"",""page"":""14-19"",""row_key"":""ranking_rule"",""section"":""录取规则""}"
FACTSRC-90620f49-e487-585b-b191-ac18411c4fb4,admission_rules,RULE-801469d1-e932-5563-8e7e-51bc880d2a79,SRC-HFNU-2026-ZC,primary_evidence,"{""asset_id"":""ASSET-HFNU-2026-ZC-PDF"",""page"":""14-19"",""row_key"":""professional_course_requirement"",""section"":""录取规则""}"
FACTSRC-61967a7d-06d7-507e-953c-c1e51e72730c,admission_rules,RULE-8ef419bb-27a7-5e19-8c18-9e8d76a9ce44,SRC-HFNU-2026-ZC,primary_evidence,"{""asset_id"":""ASSET-HFNU-2026-ZC-PDF"",""page"":""14-19"",""row_key"":""tie_break_rule"",""section"":""录取规则""}"
FACTSRC-1883a443-f1b5-5d2c-86f9-5166e2a3d792,admission_rules,RULE-9df46dfb-c7b0-5c65-b9a1-391dc8d17d68,SRC-HFNU-2024-ZC,primary_evidence,"{""row_key"":""public_course_requirement"",""section"":""录取规则"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
FACTSRC-cc90c76e-2e69-5398-ac10-ccc8a09eff06,admission_rules,RULE-ab6bf782-7726-5f9b-af1d-ab498d2cf10e,SRC-HFNU-2024-ZC,primary_evidence,"{""row_key"":""ranking_rule"",""section"":""录取规则"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
FACTSRC-f9db245a-f066-54e8-b1f2-053b96a767b9,admission_rules,RULE-d447bdf1-1363-5e29-a37d-f1b18f104781,SRC-HFNU-2024-ZC,primary_evidence,"{""row_key"":""score_formula"",""section"":""录取规则"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
FACTSRC-260fbb10-6fb1-5cfb-8d94-30e9646506fb,admission_scores,SCORE-00444264-6478-5516-8e77-582aec9fad78,SRC-HFNU-2026-LQ,primary_evidence,"{""asset_id"":""ASSET-HFNU-2026-LQ-EMBEDDED-PDF"",""page"":1,""row_key"":""网络与新媒体|合肥师范学院"",""section"":""录取最低分"",""table"":1}"
FACTSRC-da757e8c-5e6d-5ef4-93f2-1a489d4a1a36,admission_scores,SCORE-012cbae9-ff76-5807-a027-ca2b1a3ba93b,SRC-HFNU-2024-LQ,primary_evidence,"{""row_key"":""人力资源管理|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
FACTSRC-88909b93-56b2-5c11-a179-525683b46462,admission_scores,SCORE-01eb47a7-ba20-5b67-9d6c-ca084e27d5d1,SRC-HFNU-2026-LQ,primary_evidence,"{""asset_id"":""ASSET-HFNU-2026-LQ-EMBEDDED-PDF"",""page"":1,""row_key"":""互联网金融|合肥师范学院"",""section"":""录取最低分"",""table"":1}"
FACTSRC-1297e368-a5f5-5ccc-b8dd-0ad34bfec86b,admission_scores,SCORE-01ecb0d3-b161-5f09-af6d-3bfdb73e07b8,SRC-HFNU-2025-LQ,primary_evidence,"{""row_key"":""音乐学|合肥师范学院"",""section"":""录取最低分"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1002/3475.htm""}"
FACTSRC-f7851c0d-17b1-579d-9ae1-6eee01692851,admission_scores,SCORE-024970bb-19a6-5462-a78d-1fc20d368c27,SRC-HFNU-2024-LQ,primary_evidence,"{""row_key"":""服装与服饰设计|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
FACTSRC-bd36b505-0a9d-5877-8bb7-ba51c0549cd9,admission_scores,SCORE-0294d99d-204b-57c7-8dc6-5a75f7b0cec3,SRC-HFNU-2024-LQ,primary_evidence,"{""row_key"":""互联网金融|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
FACTSRC-0e71360d-26fd-5211-a5b4-471737fe06e9,admission_scores,SCORE-02ab1dfd-34fe-536c-97ac-2b06fe87f092,SRC-HFNU-2024-LQ,primary_evidence,"{""row_key"":""经济统计学|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
FACTSRC-87378736-8099-54c4-8efa-8cfb1ba97cd0,admission_scores,SCORE-03aaa4a3-6cbe-589c-88a2-f69f160ef3df,SRC-HFNU-2026-LQ,primary_evidence,"{""asset_id"":""ASSET-HFNU-2026-LQ-EMBEDDED-PDF"",""page"":2,""row_key"":""服装与服饰设计|合肥师范学院"",""section"":""录取最低分"",""table"":1}"
FACTSRC-c004de4c-2680-575d-a8e6-41a0276a8d90,admission_scores,SCORE-046c46a8-7f8b-5b23-8401-844c180e149e,SRC-HFNU-2025-LQ,primary_evidence,"{""row_key"":""小学教育|淮北职业技术学院"",""section"":""录取最低分"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1002/3475.htm""}"
FACTSRC-49fb00f0-23af-5314-8172-0a9e2d68169f,admission_scores,SCORE-04f68beb-42f2-55af-9c15-4396d825ccd1,SRC-HFNU-2026-LQ,primary_evidence,"{""asset_id"":""ASSET-HFNU-2026-LQ-EMBEDDED-PDF"",""page"":2,""row_key"":""视觉传达设计|合肥师范学院"",""section"":""录取最低分"",""table"":1}"
FACTSRC-a17d9284-14ac-5fcb-92dd-86ee9ad62d1f,admission_scores,SCORE-054b1617-e1f9-54a7-85ab-a68b64a3c89d,SRC-HFNU-2025-LQ,primary_evidence,"{""row_key"":""财务管理|安徽工业经济职业技术学院"",""section"":""录取最低分"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1002/3475.htm""}"
FACTSRC-b76c62ce-a7d5-5bf8-9605-8cb8559fc35d,admission_scores,SCORE-0607a524-739e-576d-bd51-3f9ecff7470c,SRC-HFNU-2025-LQ,primary_evidence,"{""row_key"":""学前教育|合肥师范学院"",""section"":""录取最低分"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1002/3475.htm""}"
FACTSRC-20a9d5fc-30c7-5e58-8d69-754c05748329,admission_scores,SCORE-06aab576-7bc9-5d26-a0a7-33bf031233a4,SRC-HFNU-2025-LQ,primary_evidence,"{""row_key"":""通信工程|合肥师范学院"",""section"":""录取最低分"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1002/3475.htm""}"
FACTSRC-2882eaa6-6c24-57f9-aea8-e93359558499,admission_scores,SCORE-07246e08-a991-5d4e-adee-cdca9dfdcf2d,SRC-HFNU-2025-LQ,primary_evidence,"{""row_key"":""服装与服饰设计|合肥师范学院"",""section"":""录取最低分"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1002/3475.htm""}"
FACTSRC-26856844-6f7a-5ed1-884a-4563a4e6974a,admission_scores,SCORE-07de6713-f701-5a8a-981c-d53ba5aa12a7,SRC-HFNU-2025-LQ,primary_evidence,"{""row_key"":""计算机科学与技术|安徽工业经济职业技术学院"",""section"":""录取最低分"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1002/3475.htm""}"
FACTSRC-cc058c36-2916-558b-8125-de4bff008fe1,admission_scores,SCORE-07ef8c33-e0c9-5ae7-98a7-23331b2f25ff,SRC-HFNU-2025-LQ,primary_evidence,"{""row_key"":""数据科学与大数据技术|合肥师范学院"",""section"":""录取最低分"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1002/3475.htm""}"
FACTSRC-0fd598cc-73a8-54a9-a335-8a2e1682eac1,admission_scores,SCORE-092fc9a7-9dee-5b87-ab14-e016d94a488e,SRC-HFNU-2024-LQ,primary_evidence,"{""row_key"":""计算机科学与技术|安徽工业经济职业技术学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
FACTSRC-4bae711f-477d-5e84-935a-f2d2e3590cb2,admission_scores,SCORE-09881e75-c313-5b44-900d-7f311093ee6c,SRC-HFNU-2026-LQ,primary_evidence,"{""asset_id"":""ASSET-HFNU-2026-LQ-EMBEDDED-PDF"",""page"":2,""row_key"":""新能源材料与器件|合肥师范学院"",""section"":""录取最低分"",""table"":1}"
FACTSRC-91e05afc-f959-5419-81a5-cbdeb4f8270c,admission_scores,SCORE-099c8b22-bb42-54f6-b50f-5202f632e9b3,SRC-HFNU-2025-LQ,primary_evidence,"{""row_key"":""计算机科学与技术|马鞍山师范高等专科学校"",""section"":""录取最低分"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1002/3475.htm""}"
FACTSRC-3acc807d-1beb-5ce4-8b03-644eb8ff86da,admission_scores,SCORE-09b904cf-0081-5698-acb1-9ef2587c9776,SRC-HFNU-2024-LQ,primary_evidence,"{""row_key"":""商务英语|合肥师范学院"",""section"":""录取最低分"",""table"":4,""url"":""https://zsb.hfnu.edu.cn/info/1002/3065.htm""}"
FACTSRC-da491cb7-b228-520e-be21-8a419af8a706,admission_scores,SCORE-0a41710a-26e7-5e87-a7a2-93cd5c9d5547,SRC-HFNU-2025-LQ,primary_evidence,"{""row_key"":""学前教育|合肥师范学院"",""section"":""录取最低分"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1002/3475.htm""}"
