eligibility_id,program_year_id,year,undergraduate_major_raw,undergraduate_major_std,allowed_major_categories_raw,allowed_major_categories_std,restriction_raw_text,source_id,source_locator
ELIG-6dd27dd2-a91d-5f19-bf50-c8627143726b,PY-b8d32ee2-1f35-5e7c-9e2d-8f37ad59d33b,2024,互联网金融,互联网金融,"财经商贸大类,电子与信息大类,旅游大类,公共管理与服务大类","财经商贸大类,电子与信息大类,旅游大类,公共管理与服务大类","财经商贸大类,电子与信息大类,旅游大类,公共管理与服务大类",SRC-HFNU-2024-ZC,"{""row_key"":""互联网金融"",""section"":""招生专业范围"",""table"":2,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
ELIG-9fc55e5a-6f63-51be-8745-100cb63276f1,PY-d3e1e604-5dfe-5940-9aac-c7ed5481a96b,2024,人力资源管理,人力资源管理,"财经商贸大类,旅游大类,文化艺术大类,公共管理与服务大类,新闻传播大类","财经商贸大类,旅游大类,文化艺术大类,公共管理与服务大类,新闻传播大类","财经商贸大类,旅游大类,文化艺术大类,公共管理与服务大类,新闻传播大类",SRC-HFNU-2024-ZC,"{""row_key"":""人力资源管理"",""section"":""招生专业范围"",""table"":2,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
ELIG-484747fb-5666-5241-b0d9-31717b126a91,PY-dd8c6616-cd6a-5b67-8db5-f4954648d30c,2024,制药工程,制药工程,"食品药品与粮食大类,生物与化工大类,医药卫生大类","食品药品与粮食大类,生物与化工大类,医药卫生大类","食品药品与粮食大类,生物与化工大类,医药卫生大类",SRC-HFNU-2024-ZC,"{""row_key"":""制药工程"",""section"":""招生专业范围"",""table"":2,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
ELIG-48424ebc-9ac1-54da-9504-4623712bbcc0,PY-9d21463d-ba3d-5383-9ec8-cb2b45d8c4fe,2024,动画,动画,"文化艺术大类,教育与体育大类(限于美术教育、艺术教育2个专业),电子与信息大类(限于数字媒体技术、动漫制作技术、动漫设计与制作3个专业)","文化艺术大类,教育与体育大类,电子与信息大类","文化艺术大类,教育与体育大类(限于美术教育、艺术教育2个专业),电子与信息大类(限于数字媒体技术、动漫制作技术、动漫设计与制作3个专业)",SRC-HFNU-2024-ZC,"{""row_key"":""动画"",""section"":""招生专业范围"",""table"":2,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
ELIG-83b0f919-053d-5c43-b8e5-4d24ac6192f1,PY-185d8434-ad71-5d84-adff-537a7fe42fd8,2024,化学工程与工艺,化学工程与工艺,"资源环境与安全大类,电子与信息大类,能源动力与材料大类,生物与化工大类","资源环境与安全大类,电子与信息大类,能源动力与材料大类,生物与化工大类","资源环境与安全大类,电子与信息大类,能源动力与材料大类,生物与化工大类",SRC-HFNU-2024-ZC,"{""row_key"":""化学工程与工艺"",""section"":""招生专业范围"",""table"":2,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
ELIG-165ed2f3-04a6-5989-ac18-3201595d97a4,PY-2c4bd8ce-35e9-594f-a938-a656aa703f5a,2024,商务英语,商务英语,"教育与体育大类,旅游大类,新闻传播大类,公共管理与服务大类","教育与体育大类,旅游大类,新闻传播大类,公共管理与服务大类","教育与体育大类,旅游大类,新闻传播大类,公共管理与服务大类",SRC-HFNU-2024-ZC,"{""row_key"":""商务英语"",""section"":""招生专业范围"",""table"":2,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
ELIG-025fefae-f6ac-5d53-9f9a-c94915b25e95,PY-020af4f4-756d-52f1-bedf-da1fb4f791e3,2024,学前教育(师范),学前教育,教育与体育大类,教育与体育大类,教育与体育大类,SRC-HFNU-2024-ZC,"{""row_key"":""学前教育"",""section"":""招生专业范围"",""table"":2,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
ELIG-ed733c55-c024-599e-a153-7cf573d8be4e,PY-6c06c71f-3a0c-540c-849d-0db19bc3a05c,2024,小学教育(师范),小学教育,教育与体育大类,教育与体育大类,教育与体育大类,SRC-HFNU-2024-ZC,"{""row_key"":""小学教育"",""section"":""招生专业范围"",""table"":2,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
ELIG-0d1fc69e-7a13-5284-8523-4aa62c0b57a1,PY-2ea256ce-e1f9-511b-b897-0b35b9549b96,2024,市场营销,市场营销,"财经商贸大类,旅游大类,公共管理与服务大类,新闻传播大类","财经商贸大类,旅游大类,公共管理与服务大类,新闻传播大类","财经商贸大类,旅游大类,公共管理与服务大类,新闻传播大类",SRC-HFNU-2024-ZC,"{""row_key"":""市场营销"",""section"":""招生专业范围"",""table"":2,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
ELIG-b8b6cf20-1480-50c8-bad9-9bd998cd1e51,PY-08a324b9-551b-5fed-b1f0-52e51932edf5,2024,数据科学与大数据技术,数据科学与大数据技术,"电子与信息大类,装备制造大类,交通运输大类,财经商贸大类","电子与信息大类,装备制造大类,交通运输大类,财经商贸大类","电子与信息大类,装备制造大类,交通运输大类,财经商贸大类",SRC-HFNU-2024-ZC,"{""row_key"":""数据科学与大数据技术"",""section"":""招生专业范围"",""table"":2,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
