reference_book_id,program_year_id,subject_id,book_name,author,publisher,edition,isbn,source_id,source_locator
BOOK-1ae18154-22cb-5c71-976a-d0c76f6882ac,PY-8d4db694-460f-585a-afa0-c07735ec3f07,SUBJ-7c29394f-52b0-5931-b0b3-625d7861212e,西方经济学,,高等教育出版社,,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":11,""row_key"":""互联网金融|微观经济学|西方经济学"",""section"":""参考书目""}"
BOOK-27263b30-9f25-561c-a636-b17d18f4057c,PY-b8d32ee2-1f35-5e7c-9e2d-8f37ad59d33b,SUBJ-7c29394f-52b0-5931-b0b3-625d7861212e,西方经济学,,高等教育出版社,,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":13,""row_key"":""互联网金融|微观经济学|西方经济学"",""section"":""参考书目""}"
BOOK-76e20556-1c4b-515a-9501-6c2253bf989e,PY-b6e23825-5ec0-5a03-a13e-66e5625a377d,SUBJ-7c29394f-52b0-5931-b0b3-625d7861212e,西方经济学,,高等教育出版社,,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":11,""row_key"":""互联网金融|微观经济学|西方经济学"",""section"":""参考书目""}"
BOOK-110836db-74b3-5f0b-9e29-f2b5eece7aaf,PY-b8d32ee2-1f35-5e7c-9e2d-8f37ad59d33b,SUBJ-be5405f8-d905-514f-8b29-cc10f36c78ef,基础会计,张凤明、唐淑文编著,立信会计出版社,第1版,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":13,""row_key"":""互联网金融|会计学原理|基础会计"",""section"":""参考书目""}"
BOOK-8c0b90f0-a6c0-5df7-85ab-0f930f754cf2,PY-b6e23825-5ec0-5a03-a13e-66e5625a377d,SUBJ-be5405f8-d905-514f-8b29-cc10f36c78ef,基础会计,张凤明、唐淑文编著,立信会计出版社,第一版,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":11,""row_key"":""互联网金融|会计学原理|基础会计"",""section"":""参考书目""}"
BOOK-bf50f709-7bcd-5186-b570-4b12841f3df4,PY-8d4db694-460f-585a-afa0-c07735ec3f07,SUBJ-be5405f8-d905-514f-8b29-cc10f36c78ef,基础会计,张凤明、唐淑文编著,立信会计出版社,第1版,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":11,""row_key"":""互联网金融|会计学原理|基础会计"",""section"":""参考书目""}"
BOOK-0d787b50-8641-52bb-8380-c2ce292e1869,PY-a30adc34-ff19-5174-9c16-8a24ba99e9d0,SUBJ-225d4839-edc0-58f4-a894-f24182a6ca56,管理学原理,"王光健,胡友宇,石媚山",中国人民大学出版社,第二版,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":8,""row_key"":""人力资源管理|管理学原理|管理学原理"",""section"":""参考书目""}"
BOOK-c92b7563-0329-527e-8c4f-adc4f5ca4c92,PY-d3e1e604-5dfe-5940-9aac-c7ed5481a96b,SUBJ-225d4839-edc0-58f4-a894-f24182a6ca56,管理学原理,"王光健,胡友宇,石媚山",中国人民大学出版社,第二版,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":9,""row_key"":""人力资源管理|管理学原理|管理学原理"",""section"":""参考书目""}"
BOOK-d1859ac4-d7e4-51fa-b2ab-4e99585162cf,PY-955dc40b-8141-5590-86cf-1af86a0004ff,SUBJ-225d4839-edc0-58f4-a894-f24182a6ca56,管理学原理,"王光健,胡友宇,石媚山",中国人民大学出版社,第二版,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":8,""row_key"":""人力资源管理|管理学原理|管理学原理"",""section"":""参考书目""}"
BOOK-24d706ec-cb16-5526-b3a2-7f908cc7b034,PY-955dc40b-8141-5590-86cf-1af86a0004ff,SUBJ-be5405f8-d905-514f-8b29-cc10f36c78ef,基础会计,张凤明、唐淑文编著,立信会计出版社,第1版,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":8,""row_key"":""人力资源管理|会计学原理|基础会计"",""section"":""参考书目""}"
