asset_id,source_document_id,local_path,file_name,original_file_name,asset_type,mime_type,file_size,sha256,retrieved_at,parent_asset_id,parser_name,parser_version,generated_at
ASSET-AHNU-2024-LQ-CLEAN,SRC-AHNU-2024-LQ,raw/2024/AHNU/DOC-AHNU-2024-LQ_clean.txt,DOC-AHNU-2024-LQ_clean.txt,2024_AHNU_录取分数线_clean.txt,parsed_text,text/plain,2247,fb3d1fcd4884acf1b1dae8bae017c1dc57d41353d3965bd8e421755589b8eb7e,2026-08-14T16:19:06.881505+00:00,ASSET-AHNU-2024-LQ-HTML,,,
ASSET-AHNU-2024-LQ-HTML,SRC-AHNU-2024-LQ,raw/2024/AHNU/DOC-AHNU-2024-LQ.html,DOC-AHNU-2024-LQ.html,2024_AHNU_录取分数线.html,raw_document,text/html,22724,a73ba1616e391653faa2cca7526e528916332ce8f6690f3346b53021cd24b3b5,2026-08-14T16:19:06.881505+00:00,,,,
ASSET-AHNU-2024-LQ-META,SRC-AHNU-2024-LQ,raw/2024/AHNU/DOC-AHNU-2024-LQ_metadata.json,DOC-AHNU-2024-LQ_metadata.json,2024_AHNU_录取分数线_metadata.json,metadata,application/json,325,d3a8d22ee80dc8b2dc80ef91b93aaf6f376de7d12e80d91bf75dd7922cc6485d,2026-08-14T16:19:06.881505+00:00,ASSET-AHNU-2024-LQ-HTML,,,
ASSET-AHNU-2024-ZC-CLEAN,SRC-AHNU-2024-ZC,raw/2024/AHNU/DOC-AHNU-2024-ZC_clean.txt,DOC-AHNU-2024-ZC_clean.txt,2024_AHNU_招生章程_clean.txt,parsed_text,text/plain,21289,70f05e0f1c65e987f142c8320e259724a733f267af8df44efa20b27d3281ad7b,2026-08-14T16:19:06.881505+00:00,ASSET-AHNU-2024-ZC-HTML,,,
ASSET-AHNU-2024-ZC-HTML,SRC-AHNU-2024-ZC,raw/2024/AHNU/DOC-AHNU-2024-ZC.html,DOC-AHNU-2024-ZC.html,2024_AHNU_招生章程.html,raw_document,text/html,22803,81810885b0c9f6af09e084d74ed4a2dc7b86cecf07642517ca5c3c10eec024d7,2026-08-14T16:19:06.881505+00:00,,,,
ASSET-AHNU-2024-ZC-META,SRC-AHNU-2024-ZC,raw/2024/AHNU/DOC-AHNU-2024-ZC_metadata.json,DOC-AHNU-2024-ZC_metadata.json,2024_AHNU_招生章程_metadata.json,metadata,application/json,436,57f7d4334aaa7c7c8ef02201373f9413627bb35e51165b6a66cf9723b4c38ea4,2026-08-14T16:19:06.881505+00:00,ASSET-AHNU-2024-ZC-HTML,,,
ASSET-AHNU-2024-ZC-PDF,SRC-AHNU-2024-ZC,raw/2024/AHNU/DOC-AHNU-2024-ZC.pdf,DOC-AHNU-2024-ZC.pdf,2024_AHNU_招生章程.pdf,raw_document,application/pdf,302563,5a7be6f27857c803a34f22aad3fb4abd5a8c21699dd7eda15f06e611d8128159,2026-08-14T16:19:06.881505+00:00,,,,
ASSET-AHNU-2025-LQ-CLEAN,SRC-AHNU-2025-LQ,raw/2025/AHNU/DOC-AHNU-2025-LQ_clean.txt,DOC-AHNU-2025-LQ_clean.txt,2025_AHNU_录取分数线_clean.txt,parsed_text,text/plain,3498,0df4b81e4b1d8dbb7c2a543c4cb8d75a636e4862739644b6ced6ef7823c2fb0d,2026-08-14T16:19:06.881505+00:00,ASSET-AHNU-2025-LQ-HTML,,,
ASSET-AHNU-2025-LQ-HTML,SRC-AHNU-2025-LQ,raw/2025/AHNU/DOC-AHNU-2025-LQ.html,DOC-AHNU-2025-LQ.html,2025_AHNU_录取分数线.html,raw_document,text/html,82053,2db86c4b881573d9362ddf968514f9a6733b4d761a540e2f051dbfcfa3ba2e11,2026-08-14T16:19:06.881505+00:00,,,,
ASSET-AHNU-2025-LQ-META,SRC-AHNU-2025-LQ,raw/2025/AHNU/DOC-AHNU-2025-LQ_metadata.json,DOC-AHNU-2025-LQ_metadata.json,2025_AHNU_录取分数线_metadata.json,metadata,application/json,427,33fc2a726c315941562d1ffd3a5c17cd911cfdb024fb4efef38dfec9a2da7fb8,2026-08-14T16:19:06.881505+00:00,ASSET-AHNU-2025-LQ-HTML,,,
