source_document_id,source_site_id,year,school_id,document_type,title,url,publish_date,retrieved_at,source_level,status,primary_asset_id,notes
SRC-HFNU-2024-ZC,SITE-HFNU-ZSB,2024,HFNU,admission_policy,合肥师范学院2024年普通高校专升本招生章程,https://zsb.hfnu.edu.cn/info/1003/2715.htm,2024-03-21,2026-08-14T14:18:01.003588+00:00,S,verified,ASSET-HFNU-2024-ZC-HTML,官方网页HTML、清洗文本和metadata已保存。
SRC-HFNU-2025-ZC,SITE-HFNU-ZSB,2025,HFNU,admission_policy,合肥师范学院2025年普通高校专升本招生章程,https://zsb.hfnu.edu.cn/__local/C/06/BF/6566D5FB847FE419FF2AF089452_4BA9E5C4_62ECA.pdf,2025-03-18,2026-08-14,S,verified,ASSET-HFNU-2025-ZC-PDF,官方PDF及解析文本均已保存在raw目录。
SRC-HFNU-2026-ZC,SITE-HFNU-ZSB,2026,HFNU,admission_policy,合肥师范学院2026年普通高校专升本招生章程,https://zsb.hfnu.edu.cn/__local/D/FA/83/9951276A93A385951864563370B_6C3346BD_70835.pdf,2026-03-18,2026-08-14,S,verified,ASSET-HFNU-2026-ZC-PDF,官方PDF已保存在raw目录。
SRC-HFNU-2024-LQ,SITE-HFNU-ZSB,2024,HFNU,admission_scores,合肥师范学院2024年专升本录取分数线,https://zsb.hfnu.edu.cn/info/1002/3065.htm,2024-05-24,2026-08-14T14:18:01.003588+00:00,S,verified,ASSET-HFNU-2024-LQ-HTML,官方网页HTML、清洗文本和metadata已保存。
SRC-HFNU-2025-LQ,SITE-HFNU-ZSB,2025,HFNU,admission_scores,合肥师范学院2025年专升本录取分数线,https://zsb.hfnu.edu.cn/info/1002/3475.htm,2025-05-26,2026-08-14T14:18:01.003588+00:00,S,verified,ASSET-HFNU-2025-LQ-HTML,官方网页HTML、清洗文本和metadata已保存。
SRC-HFNU-2026-LQ,SITE-HFNU-ZSB,2026,HFNU,admission_scores,合肥师范学院2026年专升本录取分数线,https://zsb.hfnu.edu.cn/info/1002/3885.htm,2026-05-21,2026-08-14T14:18:01.003588+00:00,S,verified,ASSET-HFNU-2026-LQ-PDF,官方网页及PDF均已保存。数据来自官方PDF附件。
SRC-AHNU-2024-ZC,SITE-AHNU-ZSB,2024,AHNU,admission_policy,安徽师范大学2024年普通高校专升本招生章程,https://zsxx.ahnu.edu.cn/info/1042/2893.htm,2024-03-22,2026-08-14T16:19:06.881505+00:00,S,verified,ASSET-AHNU-2024-ZC-PDF,官方PDF已保存，clean text和metadata已生成。
SRC-AHNU-2025-ZC,SITE-AHNU-ZSB,2025,AHNU,admission_policy,安徽师范大学2025年普通高校专升本招生章程,https://zsxx.ahnu.edu.cn/info/1042/3583.htm,2025-03-18,2026-08-14T16:19:06.881505+00:00,S,verified,ASSET-AHNU-2025-ZC-PDF,官方PDF已保存，clean text和metadata已生成。
SRC-AHNU-2026-ZC,SITE-AHNU-ZSB,2026,AHNU,admission_policy,安徽师范大学2026年普通高校专升本招生章程,https://zsxx.ahnu.edu.cn/info/1042/4095.htm,2026-03-18,2026-08-14T16:19:06.881505+00:00,S,verified,ASSET-AHNU-2026-ZC-PDF,官方PDF已保存，clean text和metadata已生成。
SRC-AHNU-2025-LQ,SITE-AHNU-ZSB,2025,AHNU,admission_scores,安徽师范大学2025年普通专升本招生拟录取结果查询,https://zsxx.ahnu.edu.cn/info/1009/3753.htm,2025-05-26,2026-08-14T16:19:06.881505+00:00,S,verified,ASSET-AHNU-2025-LQ-HTML,官方网页HTML已保存，包含15个专业录取分数线。
SRC-AHNU-2026-LQ,SITE-AHNU-ZSB,2026,AHNU,admission_scores,安徽师范大学2026年普通专升本招生拟录取结果查询,https://zsxx.ahnu.edu.cn/info/1009/4213.htm,2026-05-20,2026-08-14T16:19:06.881505+00:00,S,verified,ASSET-AHNU-2026-LQ-HTML,官方网页HTML已保存，包含15个专业录取分数线。
SRC-AHNU-2024-LQ,SITE-AHNU-ZSB,2024,AHNU,admission_scores,2024年普通专升本招生拟录取结果查询,https://zsxx.ahnu.edu.cn/info/1042/3098.htm,2024-05-24,2026-08-14T16:19:06.881505+00:00,S,verified,ASSET-AHNU-2024-LQ-HTML,2024年AHNU录取分数官方确认'未公布'，仅有查询页面。
