院校,性质,招生计划,报名人数,报录比
合肥大学,公办,100,548,5.5
蚌埠医科大学,公办,300,1503,5.0
阜阳师范大学,公办,200,947,4.7
黄山学院,公办,300,1408,4.7
蚌埠学院,公办,210,895,4.3
安徽艺术学院,公办,300,1251,4.2
安徽建筑大学,公办,550,2250,4.1
巢湖学院,公办,400,1610,4.0
安徽农业大学,公办,660,2590,3.9
皖南医学院,公办,150,568,3.8
宿州学院,公办,570,2065,3.6
安徽理工大学,公办,100,360,3.6
池州学院,公办,600,2140,3.6
安徽医科大学,公办,600,1960,3.3
皖西学院,公办,1500,4984,3.3
安徽科技工程大学,公办,300,935,3.1
安徽工业大学,公办,1890,5520,2.9
滁州学院,公办,320,929,2.9
合肥师范学院,公办,2600,7291,2.8
亳州学院,公办,600,1678,2.8
安徽中医药大学,公办,500,1330,2.7
淮南师范学院,公办,100,272,2.7
安徽师范大学,公办,2000,5070,2.5
安庆师范大学,公办,50,113,2.3
铜陵学院,公办,200,404,2.0
芜湖学院,民办,800,1565,2.0
安徽三联学院,民办,2000,3104,1.6
阜阳理工学院,民办,300,364,1.2
合肥经济学院,民办,2400,2500,1.0
安徽新华学院,民办,1800,1709,0.9
淮北理工学院,民办,2400,1920,0.8
马鞍山学院,民办,2400,1407,0.6
皖江工学院,民办,800,440,0.6
安徽文达信息工程学院,民办,2000,1204,0.6
安徽外国语学院,民办,2400,1118,0.5
蚌埠工商学院,民办,1080,553,0.5
安徽信息工程学院,民办,400,173,0.4
合肥城市学院,民办,2000,685,0.3
安徽医科大学临床医学院,民办,1500,3202,2.1
