school_id,school_name,year,document_type,title,official_url,publish_date,format,access_status,attachment_status,estimated_parse_difficulty,notes
AHNU,安徽师范大学,2026,admission_policy,安徽师范大学2026年普通高校专升本招生章程,https://zsxx.ahnu.edu.cn/info/1009/4093.htm,2026-03-18,HTML,accessible,none,low,招生章程以HTML页面发布；含完整招生计划表格和录取规则
AHNU,安徽师范大学,2026,enrollment_plan,2026年专升本招生专业及计划,https://zsxx.ahnu.edu.cn/info/1009/4093.htm,2026-03-18,HTML,accessible,none,low,内嵌在招生章程页面中
AHNU,安徽师范大学,2026,exam_syllabus,2026年专升本考试大纲及参考书目,https://zsxx.ahnu.edu.cn/info/1009/4093.htm,2026-03-18,PDF,accessible,has_attachments,medium,附件PDF格式
AHNU,安徽师范大学,2026,admission_scores,2026年普通专升本招生拟录取最低分,https://zsxx.ahnu.edu.cn/info/1009/4213.htm,2026-05-21,query_system,accessible,none,high,录取分数通过查询系统公布；可能需要动态加载
AHNU,安徽师范大学,2026,eligibility,2026年专升本招生专业范围,https://zsxx.ahnu.edu.cn/info/1009/4093.htm,2026-03-18,HTML,accessible,none,low,内嵌在招生章程页面中
AHNU,安徽师范大学,2026,admission_rules,2026年专升本录取细则,https://zsxx.ahnu.edu.cn/info/1009/4093.htm,2026-03-18,HTML,accessible,none,medium,含A/B段录取、综合分计算、计划调整、外校调剂等复杂规则
AHNU,安徽师范大学,2025,admission_policy,安徽师范大学2025年普通高校专升本招生章程,待确认,2025-03,HTML,needs_check,unknown,medium,需确认2025年章程URL
AHNU,安徽师范大学,2025,admission_scores,2025年专升本录取分数线,待确认,2025-05,query_system,needs_check,unknown,high,查询系统型
AHNU,安徽师范大学,2024,admission_policy,安徽师范大学2024年普通高校专升本招生章程,待确认,2024-03,HTML,needs_check,unknown,medium,需确认2024年章程URL
AHNU,安徽师范大学,2024,admission_scores,2024年专升本录取分数线,待确认,2024-05,query_system,needs_check,unknown,high,查询系统型
AXHU,安徽新华学院,2026,admission_policy,安徽新华学院2026年普通高校专升本招生章程,https://zhaosheng.axhu.edu.cn/upload/2026/3/1818192298.pdf,2026-03-18,PDF,accessible,none,medium,招生章程为PDF格式；含招生计划表和录取规则
AXHU,安徽新华学院,2026,enrollment_plan,2026年专升本分专业计划,https://zhaosheng.axhu.edu.cn/upload/2026/3/1818192298.pdf,2026-03-18,PDF,accessible,none,medium,内嵌在招生章程PDF中
AXHU,安徽新华学院,2026,exam_syllabus,2026年专升本考试大纲,https://zhaosheng.axhu.edu.cn/contents/2685/257592.html,2026-03,HTML/PDF,accessible,has_attachments,medium,考试大纲和参考书目分开发布
AXHU,安徽新华学院,2026,reference_books,2026年专升本参考书目,https://zhaosheng.axhu.edu.cn/contents/2685/257600.html,2026-03,HTML,accessible,none,low,参考书目以HTML页面发布
AXHU,安徽新华学院,2026,admission_scores,2026年专升本录取分数线,待确认（查询系统）,2026-05,query_system,needs_check,unknown,high,录取分数通过查询系统公布
AXHU,安徽新华学院,2026,eligibility,2026年专升本招生专业范围,https://zhaosheng.axhu.edu.cn/upload/2026/3/1818192298.pdf,2026-03-18,PDF,accessible,none,medium,内嵌在招生章程PDF中
AXHU,安徽新华学院,2025,admission_policy,安徽新华学院2025年普通高校专升本招生章程,待确认,2025-03,PDF,needs_check,unknown,medium,需确认2025年章程URL
AXHU,安徽新华学院,2024,admission_policy,安徽新华学院2024年普通高校专升本招生章程,待确认,2024-03,PDF,needs_check,unknown,medium,需确认2024年章程URL
CHU,巢湖学院,2026,admission_policy,巢湖学院2026年普通高校专升本招生章程,https://www.ahzsks.cn/zyyx/8798.htm,2026-03-18,HTML,accessible,unknown,low,招生章程通过考试院镜像
CHU,巢湖学院,2026,admission_scores,2026年专升本录取分数线,待确认,2026-05,unknown,needs_check,unknown,medium,需确认发布形式
CHU,巢湖学院,2025,admission_policy,巢湖学院2025年普通高校专升本招生章程,待确认,2025-03,unknown,needs_check,unknown,medium,需确认
CHU,巢湖学院,2024,admission_policy,巢湖学院2024年普通高校专升本招生章程,待确认,2024-03,unknown,needs_check,unknown,medium,需确认
